reviews,overall_rating,trip_type,room_rating,service_rating,location_rating,platform,review_month,review_year,cleaned_reviews
"The Short Version: Staying at Hotel Turmeric was a bit of a mixed bag. The bed was comfortable, and the breakfast was great, which I really liked. But I got hit with an unexpected extra fee when I checked in because the booking wasn't clear, and they were missing some basics I'd expect, like a hand shower in the bathroom and, importantly for me, any way to charge my electric car. So, even with the good bits, it ended up feeling too expensive for what I got.
Longer one
Stay on May 1 2025, price mentioned for one day",3,family,3,3,4,google,2025-06,2025,short version staying hotel turmeric bit mixed bag bed comfortable breakfast great really liked got hit unexpected extra fee checked booking wasnt clear missing basics id expect like hand shower bathroom importantly way charge electric car even good bits ended feeling expensive got longer one stay may price mentioned one day
"Memorable stay at Turmeric Hotel. It truly felt royal and luxurious. The rooms were huge and classy. The morning breakfast was awesome, with a wide variety of options and amazing taste. Mr. Karthik, the manager, was very friendly and approachable. Thank you for the royal treat",5,couple,5,5,5,google,2025-06,2025,memorable stay turmeric hotel truly felt royal luxurious rooms huge classy morning breakfast awesome wide variety options amazing taste mr karthik manager friendly approachable thank royal treat
"Rating 4 star due to the choices of hotels available in Erode. The hotel is fine to have a overnight stay. Staff is professional, rooms are big but not comfortable, the ac switchs off once there is power cut and you have to wake up in night to switch that again and again. Amenities in rooms are very limited. Food is just fine",4,business,4,4,4,google,2025-05,2025,rating star due choices hotels available erode hotel fine overnight stay staff professional rooms big comfortable ac switchs power cut wake night switch amenities rooms limited food fine
"Room is spacious and well designed. Cleanliness shall be better and have space to improve further. Restaurant is really good with clean and tasty food varieties. Service staffs are nice to guests, especially Gayuthri at restaurant served well with her nice way of approach. Overall good place to stay.",5,family,4,5,5,google,2025-04,2025,room spacious well designed cleanliness shall better space improve restaurant really good clean tasty food varieties service staffs nice guests especially gayuthri restaurant served well nice way approach overall good place stay
"Hotel Turmeric stands out as a gem in the heart of Thindal, Erode, offering a delightful blend of modern ambiance and authentic South Indian hospitality. The moment you step in, you're greeted with a clean and tastefully designed interior that exudes warmth. Whether you're visiting for a quick lunch or a family dinner, the peaceful setting and courteous staff make it a memorable dining experience.
The food at Hotel Turmeric is a true celebration of flavor. Their menu features a wide range of vegetarian and non-vegetarian dishes, each prepared with a focus on freshness and quality. Signature items like their biryanis, dosas, and flavorful gravies leave a lasting impression. The presentation of the food is elegant, and portion sizes are generous, making it excellent value for money.
What truly elevates Hotel Turmeric is their commitment to customer satisfaction. The staff are polite, attentive, and quick to accommodate special requests. The restaurant maintains high standards of hygiene and ensures a comfortable experience for every guest. Whether you're a local or a traveler passing through Erode, Hotel Turmeric is a must-visit destination for an unforgettable meal.",5,couple,5,5,5,google,2025-05,2025,hotel turmeric stands gem heart thindal erode offering delightful blend modern ambiance authentic south indian hospitality moment step youre greeted clean tastefully designed interior exudes warmth whether youre visiting quick lunch family dinner peaceful setting courteous staff make memorable dining experience food hotel turmeric true celebration flavor menu features wide range vegetarian nonvegetarian dishes prepared focus freshness quality signature items like biryanis dosas flavorful gravies leave lasting impression presentation food elegant portion sizes generous making excellent value money truly elevates hotel turmeric commitment customer satisfaction staff polite attentive quick accommodate special requests restaurant maintains high standards hygiene ensures comfortable experience every guest whether youre local traveler passing erode hotel turmeric mustvisit destination unforgettable meal
"A great pitstop between Coimbatore and Bengaluru. We visited their restaurant and even the North Indian cuisine was delectably prepared. We also loved the overall cleanliness, decor and facilities (extremely clean washrooms). Overall, a great experience :) Bonus points to the sweet staff! Thank you",5,solo,5,5,5,google,2025-06,2025,great pitstop coimbatore bengaluru visited restaurant even north indian cuisine delectably prepared also loved overall cleanliness decor facilities extremely clean washrooms overall great experience bonus points sweet staff thank
the booking done for a friend at the presidential suite has left us very sore after a very poor stay and experience with clogged bathroom drains and a very nonchalant hospitality. Even much bigger corporates such as iHg & Taj would have bent over backwards at such problems. Would not recommend,1,couple,1,1,2,google,2025-05,2025,booking done friend presidential suite left us sore poor stay experience clogged bathroom drains nonchalant hospitality even much bigger corporates ihg taj would bent backwards problems would recommend
"Can do much much better in terms of hospitality. I had a visitor to see me in the hotel and they considered the person as an additional pax and charged me for the same despite that person not staying at the hotel. Requested room service for cleaning at night 12 because we had smell issues in the washroom but turns out they dont assist at night for cleaning, in this case no one bothered to even attend my call and at least let me know no one is available.",1,family,2,1,4,google,2025-04,2025,much much better terms hospitality visitor see hotel considered person additional pax charged despite person staying hotel requested room service cleaning night smell issues washroom turns dont assist night cleaning case one bothered even attend call least let know one available
"Hotel was spacious, neat & clean & well maintained.
The price charged is on much higher side & was not expected at a place like Erode.
The price charged per day was 7500/- per day in which we are getting good hotels like 4*/5* at Metro with lots of facilities like Spa, buffee dinner etc",3,business,3,3,4,google,2025-02,2025,hotel spacious neat clean well maintained price charged much higher side expected place like erode price charged per day per day getting good hotels like metro lots facilities like spa buffee dinner etc
"Me and my friends booked rooms here at Turmeric hotel only after looking at the roof top swimming pool. But, post booking, We are unable to use the Pool even once..
The hotel management illegally, has let out the Swimming Pool access for outsiders for rental purposes to get more money, it's become their side business.
Many outside People are using the Swimming pool for their coaching/training purposes.
When would people like us, who paid a lot of money and booked rooms for friends and family would really start to use the Swimming pool then ?
The stupid, Turmeric hotel is making a side business, which I feel is not correct.
If the hotel management doesn't agree, Then I will post more video proofs..",1,friends,1,2,1,google,2025-06,2025,friends booked rooms turmeric hotel looking roof top swimming pool post booking unable use pool even hotel management illegally let swimming pool access outsiders rental purposes get money become side business many outside people using swimming pool coachingtraining purposes would people like us paid lot money booked rooms friends family would really start use swimming pool stupid turmeric hotel making side business feel correct hotel management doesnt agree post video proofs
"Awsome place to stay! It looks brand new with very neat surroundings and rooms. The location is not in the centre of the down, at the same time not too far also. The morning breakfast was awsome!. Rooms had ample space. Taking one star down since Tea was charged way more costiler than other hotels",4,solo,5,4,5,google,2025-05,2025,awsome place stay looks brand new neat surroundings rooms location centre time far also morning breakfast awsome rooms ample space taking one star since tea charged way costiler hotels
"Hi I had heard some hammering noise at mid night and also vehicle running noise thru windows. Request you seal the windows.
Otherwise all are excellent.. am always preferring Turmeric only.
Thankyou",5,solo,5,5,5,google,2025-04,2025,hi heard hammering noise mid night also vehicle running noise thru windows request seal windows otherwise excellent always preferring turmeric thankyou
"This property is located in a less busy side of Erode and is nicely maintained. We found the hotel very clean, spacious room and has good parking space. Recommend this if your travel requires travel towards Sathyamangalam, Bannari, Bhavani Sagar and places around. Wish they had a pure vegetarian restaurant too. This is why my overall rating was 4Star.",5,family,5,5,5,google,2025-02,2025,property located less busy side erode nicely maintained found hotel clean spacious room good parking space recommend travel requires travel towards sathyamangalam bannari bhavani sagar places around wish pure vegetarian restaurant overall rating star
"My parents' recent stay at your Hotel was nothing short of a nightmare, primarily due to the appalling behavior of the maintenance staff. What was supposed to be a relaxing visit turned into a distressing ordeal, and I am utterly disgusted by the way they were treated.
Upon arrival, my parents discovered a significant issue with the air conditioning in their room. After several calls to the front desk, a maintenance worker finally arrived. His name is Vivek anandhan .This is where the problems escalated. Instead of addressing the issue professionally, the staff member was dismissive and condescending. He spoke to my elderly parents in a rude and impatient manner, completely disregarding their concerns.The air conditioning remained faulty throughout their stay, and the maintenance worker's unacceptable behavior was intolerable.This experience has left my parents deeply upset and frustrated.His behavior has ruined my parents' vacation.",1,family,2,2,2,google,2025-04,2025,parents recent stay hotel nothing short nightmare primarily due appalling behavior maintenance staff supposed relaxing visit turned distressing ordeal utterly disgusted way treated upon arrival parents discovered significant issue air conditioning room several calls front desk maintenance worker finally arrived name vivek anandhan problems escalated instead addressing issue professionally staff member dismissive condescending spoke elderly parents rude impatient manner completely disregarding concernsthe air conditioning remained faulty throughout stay maintenance workers unacceptable behavior intolerablethis experience left parents deeply upset frustratedhis behavior ruined parents vacation
All looks fine .......but management here is very cunning and also if any problem comes they will try to escape by showing thier manpower ....if going with family pls don't use the same hotel ......not safe during the stay ....if people employed here are g o o n d a s ....how would u expect to have a pleasant full stay .....in erode they think then can do anything they want .....but without ethics and honesty running a hotel is like a cheap business,1,solo,1,1,1,google,2025-05,2025,looks fine management cunning also problem comes try escape showing thier manpower going family pls dont use hotel safe stay people employed g n would u expect pleasant full stay erode think anything want without ethics honesty running hotel like cheap business
Stayed for a night in Room 402. Room was very clean and well appointed.Unfortunately for all the hype room service was available only after 7.30am and being an early riser couldnt get a decent cup of coffee.This needs attention when you charge ?6000 for the room plus taxes.,4,family,4,3,4,google,2025-06,2025,stayed night room room clean well appointedunfortunately hype room service available early riser couldnt get decent cup coffeethis needs attention charge room plus taxes
They have one of the best fine dining restaurant in erode. Food here are amazing . I went there for a special occasion and they made it so memorable. Special mention to Chef Mani who made the amazing food.,5,solo,5,5,5,google,2025-02,2025,one best fine dining restaurant erode food amazing went special occasion made memorable special mention chef mani made amazing food
If youre looking out for a classy and a royal stay Hotel turmeric is wonderful and I recommend it! The complementary breakfast is excellent and the wide variety options really satisfies our taste buds in the morning. There is a swimming pool on the 4th floor which has timings 6AM to 6PM and can be accessed within this time. There is also a gym with the same timings. The service is good and the staff are courteous. Thindal Murugan temple is in close proximity and the famous Arthanareeswarar temple in Tiruchengode is about 25 km from here.,5,friends,5,5,5,google,2025-02,2025,youre looking classy royal stay hotel turmeric wonderful recommend complementary breakfast excellent wide variety options really satisfies taste buds morning swimming pool th floor timings pm accessed within time also gym timings service good staff courteous thindal murugan temple close proximity famous arthanareeswarar temple tiruchengode km
"Terrible Experience  Avoid This Hotel
We had an awful experience at this hotel. After parking our car, we discovered it was damaged. Despite showing clear evidence from the basement CCTV footage, the hotel staff refused to take any responsibility. They seemed to have an underhanded agreement with the individual responsible for the damage, dismissing our concerns by saying, ""Parking is not our responsibility.""
This hotel is poorly managed and lacks basic accountability. I strongly advise against visiting this place.",1,family,1,1,1,google,2025-01,2025,terrible experience avoid hotel awful experience hotel parking car discovered damaged despite showing clear evidence basement cctv footage hotel staff refused take responsibility seemed underhanded agreement individual responsible damage dismissing concerns saying parking responsibility hotel poorly managed lacks basic accountability strongly advise visiting place
When first stayed there was wifi connection to access OTT but now nothing is accessible.,2,solo,5,1,5,google,2025-01,2025,first stayed wifi connection access ott nothing accessible
"Worst experience everrrrrr
We had an extremely disappointing experience at Hotel Turmeric. My vehicle was parked in their parking lot during my stay, but overnight, one of their regular BNI employees, Jayavel Rash, drove his car in the basement and hit the front of our car When I informed the hotel management, they not only ignored the damage but also sided with the employee, claiming they regularly conduct meetings at the hotel.",1,friends,1,1,1,google,2025-01,2025,worst experience everrrrrr extremely disappointing experience hotel turmeric vehicle parked parking lot stay overnight one regular bni employees jayavel rash drove car basement hit front car informed hotel management ignored damage also sided employee claiming regularly conduct meetings hotel
Excellent newer hotel in Erode. Well appointed rooms and friendly service. Very efficient front desk - the two women - Bhumika and her colleague were exceptional.,5,holiday,5,5,5,google,2024-12,2024,excellent newer hotel erode well appointed rooms friendly service efficient front desk two women bhumika colleague exceptional
"Food was good and other than that it was poor. Went here to have dinner, from start to end it was really a bitter experience in terms of service. Proper training for the people should given to improve the experience of the visitors. There was power cut and the entire dining space went dark for 20-30 seconds. People were disconnected between them and even with the visitors. A hotel with a class will not have these basic flaws. Turmeric didnt set a class we were expecting. Its just a usual hotel as like others.",1,solo,3,1,5,google,2024-12,2024,food good poor went dinner start end really bitter experience terms service proper training people given improve experience visitors power cut entire dining space went dark seconds people disconnected even visitors hotel class basic flaws turmeric didnt set class expecting usual hotel like others
"Super clean, respectful staff, very good service and spacious. I liked my stay very much and wish to thank staff who made it enjoyable.",5,solo,5,5,5,google,2025-01,2025,super clean respectful staff good service spacious liked stay much wish thank staff made enjoyable
Recently had family dinner at the restaurant in turmeric. Very good ambience. Relaxing and soothing place. Food was very tasty. Menu options are good.,5,family,5,5,5,google,2025-05,2025,recently family dinner restaurant turmeric good ambience relaxing soothing place food tasty menu options good
The food tastes very good. Service is also very good. The bathrooms are very clean and neat.,4,family,5,4,5,google,2025-06,2025,food tastes good service also good bathrooms clean neat
Everything about this hotel is very very good. From the lobby to the restaurant to the rooms and very well behaved staff. Absolutely loved it,5,solo,5,5,5,google,2025-04,2025,everything hotel good lobby restaurant rooms well behaved staff absolutely loved
Went fot lunch with family. Very cordial and excellent service. Food is cooked to perfection.,5,family,5,5,5,google,2025-04,2025,went fot lunch family cordial excellent service food cooked perfection
This rating only for mano prakash... He is very gentle and friendly ... very good service provider... Keep rocking da thampi.. i think he is ah traine but like ah well experienced talking.. especially way of treating and attitude was very professional ... I'm impressed,5,friends,5,5,5,google,2025-02,2025,rating mano prakash gentle friendly good service provider keep rocking da thampi think ah traine like ah well experienced talking especially way treating attitude professional im impressed
"The new Turmeric Hotel is truly impressive. The architectural design stands out with a modern yet elegant aesthetic, showcasing both creativity and attention to detail. The hall's arrangement is thoughtfully planned, offering a spacious and welcoming atmosphere. Whether for events or casual gatherings, the layout ensures a seamless experience, and the overall ambiance reflects the hotel's commitment to quality and comfort",5,solo,5,5,5,google,2025-02,2025,new turmeric hotel truly impressive architectural design stands modern yet elegant aesthetic showcasing creativity attention detail halls arrangement thoughtfully planned offering spacious welcoming atmosphere whether events casual gatherings layout ensures seamless experience overall ambiance reflects hotels commitment quality comfort
Excellent customer service. Well maintained rooms. Complimentary breakfast is quality oriented. Keep up the good work,5,solo,5,5,5,google,2025-02,2025,excellent customer service well maintained rooms complimentary breakfast quality oriented keep good work
"Great business class hotel! Food was great, rooms were clean. Rates could be but lower. Highly recommend.",5,solo,5,5,5,google,2025-01,2025,great business class hotel food great rooms clean rates could lower highly recommend
"Ohhh man!! I could not believe we have hotels like these in Erode.
Amazing place to stay, its big, very spacious, decent and good staff. Staff tries to help you with a smile.
From the reception to the restaurant staff to the house keeping. All of them treat customers in the best way. They make you get the feel that you are worth serving, they give you the importance.
The rooms are good, spacious, rest rooms are very good. Very neat place.
The morning complimentary buffet was amazing. Good varieties, and all items were tasty.
I would for sure opt this place when I visit next time or every other time.",5,solo,5,5,5,google,2024-12,2024,ohhh man could believe hotels like erode amazing place stay big spacious decent good staff staff tries help smile reception restaurant staff house keeping treat customers best way make get feel worth serving give importance rooms good spacious rest rooms good neat place morning complimentary buffet amazing good varieties items tasty would sure opt place visit next time every time
"From the moment I entered the Hotel Turmeric ,after a very tiresome journey, I felt at ease with the calm and quiet atmosphere within the we'll designed space.The staff were quiet welcoming and courteous. The room I was introduced to for my stay was very spacious and appealing. I was very comfortable and satisfied. The amenities for the specific price range of the hotel was abundant. The breakfast was bountiful and tasty.
I would recommend this Hotel to anyone passing through erode.",5,solo,5,5,5,google,2024-06,2024,moment entered hotel turmeric tiresome journey felt ease calm quiet atmosphere within well designed spacethe staff quiet welcoming courteous room introduced stay spacious appealing comfortable satisfied amenities specific price range hotel abundant breakfast bountiful tasty would recommend hotel anyone passing erode
Brand new hotel with spacious rooms. This is one of the best hotels in the city. Decent breakfast with varieties of food which is good. Plenty of car parking is available. Room tariffs are little but high considering the city.,5,solo,5,4,5,google,2024-11,2024,brand new hotel spacious rooms one best hotels city decent breakfast varieties food good plenty car parking available room tariffs little high considering city
"Stayed in this hotel for a day. The hotel ambience is serene and peaceful. The room was very spacious, plush and comfortable. The food was very good. The service overall was below par and the service in the restaurant and reception needs improvement. Proper training to the staff is required which would elevate the overall experience. Would recommend the hotel for the rooms, food and location.",4,family,5,4,5,google,2024-06,2024,stayed hotel day hotel ambience serene peaceful room spacious plush comfortable food good service overall par service restaurant reception needs improvement proper training staff required would elevate overall experience would recommend hotel rooms food location
"USA citizen, first time to India.
Hotel was very clean and quiet. Rooms were spacious and beds were comfortable.",5,solo,4,5,5,google,2024-06,2024,usa citizen first time india hotel clean quiet rooms spacious beds comfortable
"Nice experience here at Hotel Turmeric Erode.
Staffs are well behaved and welcoming.Takes care of every small requests which is possible on their side. Sharad attended us nicely right away from check in till checkout. Got interconnected room on request since i was with my parents. Kudos to team for this.",5,family,5,5,5,google,2024-08,2024,nice experience hotel turmeric erode staffs well behaved welcomingtakes care every small requests possible side sharad attended us nicely right away check till checkout got interconnected room request since parents kudos team
"I recently stayed at TURMERIC in Erode City and had a wonderful experience. The hotel offers clean, comfortable rooms with modern amenities. The staff were exceptionally friendly and attentive, ensuring all our needs were met. The on-site restaurant served delicious local cuisine, adding to the overall enjoyment of our stay. Conveniently located in the heart of the city, TURMERIC is an excellent choice for both business and leisure travelers. Highly recommended!",5,solo,5,5,5,google,2025-06,2025,recently stayed turmeric erode city wonderful experience hotel offers clean comfortable rooms modern amenities staff exceptionally friendly attentive ensuring needs met onsite restaurant served delicious local cuisine adding overall enjoyment stay conveniently located heart city turmeric excellent choice business leisure travelers highly recommended
"We went here to have dinner with our family, the service level was literally very worst and it's not really up to the mark. Spoiled our entire mood and the behavior of people was not pleasent at all. At some point we thought of going out even without having our food. ",1,family,4,1,4,google,2024-06,2024,went dinner family service level literally worst really mark spoiled entire mood behavior people pleasent point thought going even without food
"One of the best hotels in erode city. Rooms are very clean and specious.
Food taste and service was good.
We enjoyed a lot in hotel turmeric. Very nice experience.",5,family,5,5,5,google,2024-12,2024,one best hotels erode city rooms clean specious food taste service good enjoyed lot hotel turmeric nice experience
Best hotel in erode have stayed twice at this place its simple wonderful experience,5,couple,5,5,5,google,2025-06,2025,best hotel erode stayed twice place simple wonderful experience
It was awesome ,5,family,5,5,5,google,2024-12,2024,awesome
Thank you so much to Ms.Gayathri for Great service and care. Her smile and service differentiated our stay,5,solo,5,5,5,google,2025-04,2025,thank much msgayathri great service care smile service differentiated stay
"In my knowledge its the more premium hotel in erode,the location is best,near thindel,its the centre of erode,and having less traffic as well",4,family,4,3,4,google,2025-04,2025,knowledge premium hotel erodethe location bestnear thindelits centre erodeand less traffic well
"Visited on a business trip. Very caring staff, routinely checked in about our comfort and feedback. The restaurant has a good range of cuisine and I would give the food 3/5. The breakfast buffet is very good, and the Malaysian Paneer on the menu is delicious.",4,business,4,4,4,google,2024-06,2024,visited business trip caring staff routinely checked comfort feedback restaurant good range cuisine would give food breakfast buffet good malaysian paneer menu delicious
Attended a function tere. Food tastes awrsome,5,family,5,5,5,google,2025-06,2025,attended function tere food tastes awrsome
"Friendly staff and very good room service ,Esravel is the best person in the room services",5,solo,5,5,4,google,2025-04,2025,friendly staff good room service esravel best person room services
They have two restaurants one is thenamam that is where we went. The food is average and the price did not justify the quality and quantity. The service is very poor. I had to wait 30 minutes to order food and food arrived after 40 minutes. It seems like short staffed only one person taking order on a busy day. I would think twice before visit this restaurant again for sure.,3,family,3,3,4,google,2025-04,2025,two restaurants one thenamam went food average price justify quality quantity service poor wait minutes order food food arrived minutes seems like short staffed one person taking order busy day would think twice visit restaurant sure
"rooms are very near and clean... hygienic food, 24 hours safety and secure, buffet breakfast very delicious",5,family,5,5,5,google,2025-01,2025,rooms near clean hygienic food hours safety secure buffet breakfast delicious
"Awesome stay, good and professional executives.
Really enjoyed during my stay",4,family,5,5,5,google,2025-03,2025,awesome stay good professional executives really enjoyed stay
Rooms are good. But food is too hot.,5,solo,5,4,5,google,2025-06,2025,rooms good food hot
"I thoroughly enjoyed my staythe staff were exceptionally polite and helpful. The food was excellent, and the unbeatable price made it even better. Kudos to the team!",5,solo,5,5,5,google,2024-12,2024,thoroughly enjoyed staythe staff exceptionally polite helpful food excellent unbeatable price made even better kudos team
"Good interiors and room. Average checkin...no valet, had to carry the luggage ourselves to the room. Bath area does not have a glass door...looks like they forgot to fix one. Ordered for ice cream and they forgot to send it and had to remind again after 25 mins. Need lot of improvement in service. Waiting for a good breakfast atleast.",3,solo,3,3,5,google,2024-06,2024,good interiors room average checkinno valet carry luggage room bath area glass doorlooks like forgot fix one ordered ice cream forgot send remind mins need lot improvement service waiting good breakfast atleast
Best hotel in Erode food is good rooms are very nice,5,family,5,5,5,google,2025-06,2025,best hotel erode food good rooms nice
